event_id,event_date,event_time,aircraft_registration,operator,event_type,event_classification,event_location,inspection_location,consequences,description
181,2025-10-19,09:20,RA-87878,Аэрофлот,Повреждение ВС,Аэродромно-производственное событие,Перрон 5,Шереметьево,Нет,Обнаружено повреждение при осмотре
182,19.10.2025,1425,VQ-BDN,аэрофлот ,Нарушение процедуры,АПС,Стоянка 8,Шереметьево,Минимальные,Нарушен порядок контроля
183,2025/10/22,18:35,RA-88888,S7 Airlines,Посторонний предмет,Аэродромно-производственное событие,РД-3,Домодедово,Нет,Обнаружен посторонний предмет
184,2025-10-24,23:10,VQ-BDO,S7 airlines,Повреждение ВС,АПС,Перрон 9,Шереметьево,Нет,Повреждение выявлено после обслуживания
185,24.10.2025,06:25,RA-89898,Победа,Отклонение от регламента,Аэродромно-производственное событие,Стоянка 6,Внуково,Минимальные,Обнаружено несоответствие
186,2025-10-27,12:40,VQ-BDP,Победаа,Нарушение процедуры,АПС,Перрон 2,Внуково,Незначительные,Нарушены требования безопасности
187,27/10/2025,1955,RA-90909,Россия,Повреждение ВС,Аэродромно-производственное событие,Перрон 7,Шереметьево,Нет,Повреждение элемента конструкции
188,2025-10-29,09:30,VQ-BDQ,РОССИЯ ,Посторонний предмет,АПС,Перрон 4,Домодедово,Нет,Обнаружен предмет возле ВС
189,29.10.2025,17.15,RA-91919,Aeroflot,Нарушение процедуры,Аэродромно-производственное событие,Перрон 10,Шереметьево,Незначительные,Нарушение порядка выполнения работ
190,2025-11-01,22:45,VQ-BDR,Аэрофлoт,Повреждение ВС,АПС,Стоянка 3,Шереметьево,Нет,Выявлено повреждение при проверке
191,2025-11-03,08:35,RA-92929,S7 Airlines,Посторонний предмет,Аэродромно-производственное событие,Перрон 6,Домодедово,Нет,Обнаружен объект на территории
192,03.11.2025,1510,VQ-BDS,S7,Отклонение от регламента,АПС,РД-1,Шереметьево,Минимальные,Выявлено отклонение от требований
193,2025/11/05,1940,RA-93939,Победа,Повреждение ВС,Аэродромно-производственное событие,Перрон 8,Внуково,Нет,Повреждена обшивка
194,2025-11-07,07:20,VQ-BDT,победа,Нарушение процедуры,АПС,Стоянка 12,Внуково,Незначительные,Нарушение порядка работ
195,07.11.2025,13:45,RA-94949,Уральские авиалинии,Посторонний предмет,Аэродромно-производственное событие,Перрон 11,Домодедово,Нет,Обнаружен посторонний предмет
196,2025-11-10,18:50,VQ-BDU,Уральские авиалинии ,Повреждение ВС,АПС,Перрон 3,Шереметьево,Нет,Обнаружено повреждение корпуса
